HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
NO00072864; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00072864,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00274511; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00274511,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00081452; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00081452,OU=GUARAREMA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00079451; Desligado - DNS_ERRO; True; ; Windows 7 Enterprise; transp.biz; CN=NO00079451,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00278033; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00278033,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00198389; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00198389,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00079431; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=NO00079431,OU=BARUERI,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00081384; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=NO00081384,OU=PARANAGUA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00317825; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00317825,OU=GUARULHOS,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00209833; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00209833,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00274527; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00274527,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00257239; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00257239,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00287404; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00287404,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00297151; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00297151,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00258239; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00258239,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00070206; Desligado - DNS_ERRO; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00070206,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00325594; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325594,OU=GUARULHOS,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00094374; Ligado - 0; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094374,OU=GUARAREMA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00062812; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00062812,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00092989; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00092989,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00080132; Inexistente - 1; -; -; -; -; -
ES003438; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES003438,OU=GERAL,OU=TIC-BA,OU=Desktops,DC=petrobras,DC=biz
MI00325508; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325508,OU=ALEMOA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
