HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
NO00091574; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091574,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00079839; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00079839,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00288014; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00288014,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00208915; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00208915,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00092698; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00092698,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00311382; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00311382,OU=UO-BC,OU=GERAL,OU=TIC-BC,OU=Desktops,DC=petrobras,DC=biz
NO00078117; Inexistente; -; -; -; -; -
MI00255019; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00255019,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI188407; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI188407,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00091612; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091612,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00279230; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00279230,OU=GERAL,OU=TIC-BC,OU=Desktops,DC=petrobras,DC=biz
NO00054609; Inexistente; -; -; -; -; -
MI00288199; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00288199,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00319668; Inexistente; -; -; -; -; -
MI00328423; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00328423,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00091864; Ligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091864,OU=RH-UP,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00199139; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00199139,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00058562; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00058562,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00069980; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00069980,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
