HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00325644; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325644,OU=RIO GRANDE,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00295618; Inexistente; -; -; -; -; -
MI00326016; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00326016,OU=SAO SEBASTIAO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00069163; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00069163,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00094741; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094741,OU=SAO FRANCISCO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00191866; Inexistente; -; -; -; -; -
MI00249000; Inexistente; -; -; -; -; -
NO000094811; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO000094811,OU=TA-Belem,OU=TIC-AM,OU=Notebooks,DC=transp,DC=biz
MI00274748; Inexistente; -; -; -; -; -
MI00325905; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325905,OU=OSORIO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI002147348; Inexistente; -; -; -; -; -
MI00228475; Inexistente; -; -; -; -; -
MI00321751; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321751,OU=OSORIO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00237837; Inexistente; -; -; -; -; -
MI00320309; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320309,OU=GUARULHOS,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00068511; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068511,OU=RIO GRANDE,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00068405; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068405,OU=ALEMOA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00304912; Inexistente; -; -; -; -; -
MI00321113; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321113,OU=GUARAREMA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00267899; Inexistente; -; -; -; -; -
MI00254839; Inexistente; -; -; -; -; -
NO00058855; Inexistente; -; -; -; -; -
MI00248809; Inexistente; -; -; -; -; -
MI00206264; Inexistente; -; -; -; -; -
NO00094731; Ligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094731,OU=OSORIO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00203353; Inexistente; -; -; -; -; -
NO00093918; Inexistente; -; -; -; -; -
MI00290806; Inexistente; -; -; -; -; -
MI00328990; Ligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328990,OU=NITEROI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
